0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/js/apps.js HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/home/home.js HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/services/logoutService.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/services/cdsProdutosService.js HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/js/logoutController.js HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/js/config.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsGridProdutos.js HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsFormProdutos.js HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsGridProdutos.html HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 65412
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js.map HTTP/1.1" 200 8208
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:27 -0200] "GET /DesafioWek/project/private/js/config.js?_=1516330167212 HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:28 -0200] "GET /DesafioWek/project/private/home.html HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 64800
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.woff HTTP/1.1" 200 5728
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/css/materialize.css HTTP/1.1" 200 182764
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/css/style.css HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/css/angular-toastr.css HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.css HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 257551
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/js/angular-toastr.js HTTP/1.1" 200 15270
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/project/private/services/logoutService.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/project/private/home/home.js HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/project/private/js/apps.js HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsGridProdutos.js HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/project/private/js/logoutController.js HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/project/private/services/cdsProdutosService.js HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsFormProdutos.js HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:29 -0200] "GET /DesafioWek/project/private/js/config.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:30 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsGridProdutos.html HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:30 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:30 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 65412
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:30 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js.map HTTP/1.1" 200 8208
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:30 -0200] "GET /DesafioWek/project/private/js/config.js?_=1516330169663 HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:32 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 200 64800
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:49:32 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.woff HTTP/1.1" 200 5728
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/home.html HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/css/materialize.css HTTP/1.1" 200 182764
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/angular-toastr.css HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/style.css HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.css HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 257551
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/angular-toastr.js HTTP/1.1" 200 15270
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/js/apps.js HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/home/home.js HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/services/logoutService.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/services/cdsProdutosService.js HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/js/logoutController.js HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/js/config.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsFormProdutos.js HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsGridProdutos.js HTTP/1.1" 200 3300
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/home.html HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/css/materialize.css HTTP/1.1" 200 182764
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/style.css HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/angular-toastr.css HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.css HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 257551
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/angular-toastr.js HTTP/1.1" 200 15270
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/js/apps.js HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/home/home.js HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/services/cdsProdutosService.js HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/services/logoutService.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/js/logoutController.js HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsGridProdutos.js HTTP/1.1" 200 3300
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsFormProdutos.js HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/js/config.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/home.html HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/css/materialize.css HTTP/1.1" 200 182764
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/style.css HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.css HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/angular-toastr.css HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 257551
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/home.html HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/angular-toastr.js HTTP/1.1" 200 15270
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/js/apps.js HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/home/home.js HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/services/logoutService.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/js/logoutController.js HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/services/cdsProdutosService.js HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsGridProdutos.js HTTP/1.1" 200 3300
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsFormProdutos.js HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/project/private/js/config.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/css/materialize.css HTTP/1.1" 200 182764
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/style.css HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/angular-toastr.css HTTP/1.1" 200 7003
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/jquery/dist/jquery.js HTTP/1.1" 200 257551
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.css HTTP/1.1" 200 49013
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular/angular.js HTTP/1.1" 200 1268263
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-animate/angular-animate.js HTTP/1.1" 200 151274
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-resource/angular-resource.js HTTP/1.1" 200 35571
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-route/angular-route.js HTTP/1.1" 200 44932
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/js/materialize.js HTTP/1.1" 200 377254
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-touch/angular-touch.js HTTP/1.1" 200 26948
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-ui-grid/ui-grid.js HTTP/1.1" 200 1155348
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/lib/node_modules/angular-materialize/src/angular-materialize.js HTTP/1.1" 200 58621
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:53 -0200] "GET /DesafioWek/js/angular-toastr.js HTTP/1.1" 200 15270
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/lib/node_modules/angular-mask/src/masks.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/js/apps.js HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/js/angular-input-masks-standalone.min.js HTTP/1.1" 200 79493
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/home/home.js HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/services/logoutService.js HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/services/cdsProdutosService.js HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/js/logoutController.js HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsGridProdutos.js HTTP/1.1" 200 3300
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsFormProdutos.js HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/js/config.js HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/cdsProdutos/cdsGridProdutos.html HTTP/1.1" 200 5934
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 64832
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/lib/node_modules/materialize-css/dist/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 200 65412
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/lib/node_modules/angular-messages/angular-messages.min.js.map HTTP/1.1" 200 8208
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/js/config.js?_=1516330254072 HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [19/Jan/2018:00:50:54 -0200] "GET /DesafioWek/project/private/home.html HTTP/1.1" 200 4082
